row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
7,53,-34.36,83.77,0.3364993078437474,0.48815999996661613,0.8246593078103635,0.2708323401343891,0.5538269676759744,0,0,1,1
7,54,-34.36,88.77,0.3552607356494164,0.48630683932701424,0.8415675749764306,0.7643468970890837,0.07722067788734699,1,0,1,1
7,55,-34.36,93.77,0.3770864942506059,0.4808070263053048,0.8578935205559107,0.29783391777795715,0.5600596027779536,0,0,1,1
7,56,-34.36,98.77,0.43355279871486985,0.4700885087933939,0.9036413075082638,0.39227483830185755,0.5113664692064062,0,0,1,1
7,57,-34.36,103.77,0.4691343050602212,0.4663661941230872,0.9355004991833085,0.9355004991833085,0.0,0,0,1,1
7,58,-34.36,108.77,0.44423452182771683,0.47092214948896255,0.9151566713166794,0.9151566713166794,0.0,0,0,1,1
7,59,-34.36,113.77,0.27668421419731026,0.48024447334283016,0.7569286875401404,0.5924605726637764,0.16446811487636404,0,0,1,1
7,60,-34.36,118.77,0.1675255004351808,0.4926072241639474,0.6601327245991282,0.16977128703180427,0.4903614375673239,0,0,1,0
8,5,-29.36,-156.23,0.02321499504282417,0.25627021670578287,0.279485211748607,0.0,0.279485211748607,0,0,0,0
8,6,-29.36,-151.23,0.0351061530153176,0.27587922284953864,0.31098537586485625,0.0,0.31098537586485625,0,0,0,0
8,7,-29.36,-146.23,0.03334732889300945,0.3035830471950968,0.3369303760881063,0.0,0.3369303760881063,0,0,0,0
8,8,-29.36,-141.23,0.027803336802618706,0.3328538687340085,0.3606572055366272,0.0,0.3606572055366272,0,0,0,0
8,9,-29.36,-136.23,0.02215461349604918,0.3616549427284888,0.383809556224538,0.0,0.383809556224538,0,0,0,0
8,10,-29.36,-131.23,0.022499212249205317,0.3892725248647552,0.41177173711396053,0.0,0.41177173711396053,0,0,0,0
8,11,-29.36,-126.23,0.03188608607935215,0.41547958678267355,0.4473656728620257,0.0,0.4473656728620257,0,0,0,0
8,12,-29.36,-121.23,0.05372070205789384,0.4401746920967105,0.4938953941546044,0.0,0.4938953941546044,0,0,0,0
8,13,-29.36,-116.23,0.07457719985992887,0.4632698817612208,0.5378470816211497,0.015404939640331,0.5224421419808187,0,0,0,0
8,14,-29.36,-111.23,0.050989096005434775,0.4847002107628664,0.5356893067683012,0.022831355742241533,0.5128579510260597,0,0,0,0
8,15,-29.36,-106.23,0.01494230800479972,0.5094209561473758,0.5243632641521755,0.015404939640331,0.5089583245118445,0,0,0,0
8,16,-29.36,-101.23,0.007348780582127147,0.544578020677921,0.5519268012600482,0.0,0.5519268012600482,0,0,0,0
8,17,-29.36,-96.23,0.003219283281489054,0.5769703099165724,0.5801895931980614,0.0,0.5801895931980614,0,0,0,0
8,18,-29.36,-91.23,0.002784836724212644,0.6071868285385643,0.6099716652627769,0.0,0.6099716652627769,0,0,0,0
8,20,-29.36,-81.23,0.03869204849333115,0.6520088196276322,0.6907008681209634,0.015404939640331,0.6752959284806325,0,0,0,0
8,21,-29.36,-76.23,0.05064958947331878,0.6712868010200403,0.7219363904933591,0.022831355742241533,0.6991050347511176,0,0,0,0
8,22,-29.36,-71.23,0.055488714932790645,0.6874923475969387,0.7429810625297293,0.015404939640331,0.7275761228893983,0,0,0,0
8,25,-29.36,-56.23,0.010538976351356148,0.727645299617553,0.7381842759689091,0.015404939640331,0.7227793363285782,0,0,0,0
8,26,-29.36,-51.23,0.018863260256351443,0.7411664484226294,0.7600297086789808,0.022831355742241533,0.7371983529367393,0,0,0,0
8,27,-29.36,-46.23,0.02972559823581234,0.7546680875793798,0.7843936858151921,0.015404939640331,0.7689887461748611,0,0,0,0
8,28,-29.36,-41.23,0.02594072610338334,0.7670419096270645,0.7929826357304479,-0.0,0.7929826357304479,0,0,0,0
