n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,1.590048,1.606302,2.172411,150.0,"8,21;8,22;9,22;9,21;9,20;8,20"
4,20.0,17.14,1.589605,1.597271,1.500878,100.0,"17,10;17,11;18,11;18,10"
6,30.0,25.71,1.588127,1.606302,2.197399,150.0,"10,21;10,22;9,22;8,22;8,21;9,21"
6,30.0,25.71,1.586888,1.60351,2.241988,150.0,"19,13;19,14;19,15;18,15;18,14;18,13"
6,30.0,25.71,1.586675,1.59814,2.243773,150.0,"18,12;18,13;17,13;16,13;16,12;17,12"
6,30.0,25.71,1.586467,1.67624,2.242667,150.0,"9,29;10,29;10,30;10,31;9,31;9,30"
6,30.0,25.71,1.586258,1.59814,2.24379,150.0,"18,15;18,14;18,13;17,13;17,14;17,15"
6,30.0,25.71,1.586166,1.59814,2.243806,150.0,"17,14;18,14;18,13;17,13;16,13;16,14"
4,20.0,17.14,1.586115,1.592831,1.471933,100.0,"9,21;9,20;8,20;8,21"
4,20.0,17.14,1.585835,1.627655,1.491583,100.0,"9,23;9,24;10,24;10,23"
6,30.0,25.71,1.585818,1.60351,2.197828,150.0,"20,14;20,15;19,15;19,14;19,13;20,13"
6,30.0,25.71,1.585769,1.649227,2.239109,150.0,"11,26;10,26;9,26;9,25;10,25;11,25"
6,30.0,25.71,1.585369,1.597557,2.242846,150.0,"18,12;18,11;17,11;16,11;16,12;17,12"
6,30.0,25.71,1.584796,1.627655,2.217007,150.0,"9,23;9,24;10,24;10,23;10,22;9,22"
6,30.0,25.71,1.583684,1.635381,2.242238,150.0,"9,26;9,27;10,27;11,27;11,26;10,26"
4,20.0,17.14,1.582853,1.595775,1.517912,100.0,"17,15;17,14;18,14;18,15"
6,30.0,25.71,1.582792,1.629826,2.243803,150.0,"11,30;10,30;10,29;10,28;11,28;11,29"
6,30.0,25.71,1.58265,1.629826,2.243791,150.0,"11,27;10,27;10,28;10,29;11,29;11,28"
4,20.0,17.14,1.582473,1.629826,1.517924,100.0,"10,29;11,29;11,30;10,30"
4,20.0,17.14,1.582407,1.589527,1.51301,100.0,"9,21;10,21;10,22;9,22"
6,30.0,25.71,1.582338,1.597271,2.216995,150.0,"18,11;18,10;17,10;16,10;16,11;17,11"
6,30.0,25.71,1.582225,1.592831,2.197829,150.0,"10,21;10,20;9,20;8,20;8,21;9,21"
6,30.0,25.71,1.582132,1.629826,2.24381,150.0,"10,29;10,28;11,28;12,28;12,29;11,29"
4,20.0,17.14,1.581087,1.587995,1.517933,100.0,"17,13;16,13;16,12;17,12"
6,30.0,25.71,1.580979,1.595775,2.24245,150.0,"19,14;18,14;17,14;17,15;18,15;19,15"
6,30.0,25.71,1.580821,1.595066,2.226161,150.0,"10,23;9,23;9,22;9,21;10,21;10,22"
