n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.799335,1.80595,1.344144,75.0,"16,12;15,12;15,11"
3,17.071,30.0,1.799321,1.804344,1.344144,75.0,"15,13;16,14;16,13"
3,17.071,30.0,1.798952,1.804802,1.344144,75.0,"15,12;16,11;15,11"
3,17.071,30.0,1.798886,1.807674,1.344144,75.0,"17,15;16,14;17,14"
3,17.071,30.0,1.798205,1.804802,1.344123,75.0,"16,11;15,10;16,10"
3,17.071,30.0,1.797601,1.832746,1.344123,75.0,"9,27;9,28;8,27"
3,17.071,30.0,1.797494,1.807674,1.344144,75.0,"17,14;16,14;16,15"
3,17.071,30.0,1.796914,1.815667,1.344123,75.0,"19,13;20,14;19,14"
3,17.071,30.0,1.796908,1.804344,1.344144,75.0,"15,14;16,13;15,13"
3,17.071,30.0,1.796842,1.804344,1.344144,75.0,"16,14;15,14;16,13"
3,17.071,30.0,1.796225,1.804802,1.344144,75.0,"15,11;16,11;15,10"
3,17.071,30.0,1.796015,1.807674,1.344144,75.0,"16,15;17,14;17,15"
3,17.071,30.0,1.795662,1.812515,1.344144,75.0,"9,28;9,29;10,29"
3,17.071,30.0,1.795604,1.811137,1.344144,75.0,"17,14;18,14;18,15"
3,17.071,30.0,1.795107,1.804777,1.344144,75.0,"7,40;6,40;7,39"
3,17.071,30.0,1.794967,1.799416,1.344103,75.0,"9,18;8,18;9,19"
3,17.071,30.0,1.794771,1.80044,1.344123,75.0,"15,11;16,10;15,10"
3,17.071,30.0,1.794633,1.817877,1.344103,75.0,"8,29;8,30;9,29"
3,17.071,30.0,1.794387,1.813264,1.344082,75.0,"5,40;5,41;6,41"
3,17.071,30.0,1.794364,1.79691,1.344144,75.0,"15,13;15,14;16,14"
3,17.071,30.0,1.794119,1.807281,1.344103,75.0,"20,14;19,14;20,13"
3,17.071,30.0,1.793995,1.797553,1.344144,75.0,"15,12;15,13;14,13"
3,17.071,30.0,1.792925,1.797553,1.344144,75.0,"15,12;14,12;15,13"
3,17.071,30.0,1.792905,1.799416,1.344082,75.0,"9,18;8,18;8,17"
3,17.071,30.0,1.79287,1.813264,1.344123,75.0,"5,41;6,41;6,40"
3,17.071,30.0,1.79236,1.796711,1.344144,75.0,"16,14;17,15;16,15"
3,17.071,30.0,1.792122,1.797553,1.344144,75.0,"15,12;14,12;15,11"
3,17.071,30.0,1.791559,1.809331,1.344103,75.0,"6,41;6,40;5,40"
3,17.071,30.0,1.791426,1.796711,1.344144,75.0,"15,14;16,15;16,14"
3,17.071,30.0,1.791301,1.79691,1.344144,75.0,"14,13;15,14;15,13"
3,17.071,30.0,1.790944,1.80044,1.344103,75.0,"16,10;15,9;15,10"
3,17.071,30.0,1.790471,1.811137,1.344144,75.0,"18,15;17,15;18,14"
3,17.071,30.0,1.790466,1.811137,1.344144,75.0,"19,14;18,15;18,14"
3,17.071,30.0,1.789938,1.797553,1.344144,75.0,"15,12;14,11;15,11"
3,17.071,30.0,1.789797,1.797553,1.344144,75.0,"15,12;14,12;14,13"
3,17.071,30.0,1.789582,1.79691,1.344144,75.0,"14,12;14,13;15,13"
3,17.071,30.0,1.789316,1.807674,1.344144,75.0,"17,14;18,15;17,15"
3,17.071,30.0,1.789188,1.79691,1.344144,75.0,"14,14;15,14;15,13"
3,17.071,30.0,1.788539,1.79691,1.344144,75.0,"15,13;14,13;14,14"
3,17.071,30.0,1.788244,1.790442,1.344144,75.0,"8,39;7,39;7,40"
3,17.071,30.0,1.787212,1.7945,1.344144,75.0,"15,11;14,11;15,10"
3,17.071,30.0,1.787072,1.796711,1.344144,75.0,"15,15;15,14;16,14"
3,17.071,30.0,1.786632,1.811137,1.344144,75.0,"19,15;18,14;19,14"
3,17.071,30.0,1.786614,1.796711,1.344144,75.0,"16,14;15,15;16,15"
3,17.071,30.0,1.786543,1.797553,1.344144,75.0,"14,11;15,12;14,12"
3,17.071,30.0,1.78634,1.809331,1.344102,75.0,"5,40;6,39;6,40"
3,17.071,30.0,1.786181,1.799416,1.344103,75.0,"9,17;8,18;9,18"
3,17.071,30.0,1.78606,1.789471,1.344144,75.0,"14,14;14,13;15,14"
3,17.071,30.0,1.785525,1.7945,1.344144,75.0,"14,12;15,11;14,11"
3,17.071,30.0,1.785149,1.804777,1.344144,75.0,"6,41;6,40;7,40"
3,17.071,30.0,1.784822,1.795641,1.344124,75.0,"9,19;10,19;9,18"
3,17.071,30.0,1.784618,1.842288,1.344123,75.0,"8,26;9,26;9,27"
3,17.071,30.0,1.784218,1.795641,1.344124,75.0,"9,19;9,18;10,18"
3,17.071,30.0,1.784201,1.789471,1.344144,75.0,"15,14;15,15;16,15"
3,17.071,30.0,1.783486,1.7945,1.344144,75.0,"14,10;15,10;15,11"
3,17.071,30.0,1.782186,1.799416,1.344082,75.0,"8,18;8,17;9,17"
3,17.071,30.0,1.781897,1.789471,1.344144,75.0,"15,15;15,14;14,14"
3,17.071,30.0,1.781437,1.832746,1.344123,75.0,"9,27;8,27;9,26"
3,17.071,30.0,1.780928,1.795641,1.344123,75.0,"8,17;9,18;9,17"
3,17.071,30.0,1.780869,1.787524,1.344144,75.0,"14,13;13,13;14,12"
3,17.071,30.0,1.780497,1.787524,1.344144,75.0,"13,12;14,13;14,12"
3,17.071,30.0,1.780069,1.812515,1.344144,75.0,"10,28;9,28;9,29"
3,17.071,30.0,1.780044,1.804777,1.344123,75.0,"6,39;7,39;6,40"
3,17.071,30.0,1.77993,1.804777,1.344123,75.0,"7,40;6,39;6,40"
3,17.071,30.0,1.779826,1.787524,1.344144,75.0,"14,14;13,13;14,13"
3,17.071,30.0,1.779659,1.789373,1.344103,75.0,"15,10;14,10;15,9"
3,17.071,30.0,1.779616,1.7945,1.344144,75.0,"14,10;15,11;14,11"
3,17.071,30.0,1.779206,1.792261,1.344103,75.0,"20,15;20,14;19,14"
3,17.071,30.0,1.779001,1.789471,1.344144,75.0,"15,14;14,14;14,15"
3,17.071,30.0,1.778842,1.792273,1.344144,75.0,"16,16;16,15;17,15"
3,17.071,30.0,1.778545,1.811137,1.344144,75.0,"18,15;19,15;18,14"
3,17.071,30.0,1.777906,1.789373,1.344144,75.0,"15,10;14,10;14,11"
3,17.071,30.0,1.777501,1.789373,1.344103,75.0,"15,9;14,9;15,10"
3,17.071,30.0,1.777264,1.795641,1.344144,75.0,"9,18;10,19;10,18"
3,17.071,30.0,1.777243,1.784314,1.344144,75.0,"14,11;13,12;14,12"
3,17.071,30.0,1.777191,1.792261,1.344123,75.0,"19,14;20,14;19,15"
3,17.071,30.0,1.776952,1.789471,1.344144,75.0,"15,15;14,15;15,14"
3,17.071,30.0,1.775982,1.787524,1.344144,75.0,"13,13;13,12;14,13"
3,17.071,30.0,1.775824,1.789844,1.344124,75.0,"9,20;10,19;9,19"
3,17.071,30.0,1.775486,1.789844,1.344103,75.0,"8,20;9,20;9,19"
3,17.071,30.0,1.775432,1.795641,1.344144,75.0,"9,18;9,17;10,18"
3,17.071,30.0,1.775358,1.787524,1.344144,75.0,"14,13;14,14;13,14"
3,17.071,30.0,1.775332,1.789844,1.344124,75.0,"10,19;10,18;9,19"
3,17.071,30.0,1.775152,1.790442,1.344123,75.0,"7,39;6,39;7,40"
3,17.071,30.0,1.774912,1.784314,1.344144,75.0,"13,12;14,12;13,13"
3,17.071,30.0,1.774189,1.781184,1.344144,75.0,"14,14;15,15;14,15"
3,17.071,30.0,1.773541,1.817877,1.344123,75.0,"9,30;8,29;9,29"
3,17.071,30.0,1.773096,1.788097,1.344144,75.0,"15,15;16,15;16,16"
3,17.071,30.0,1.772253,1.792261,1.344144,75.0,"19,15;19,14;18,15"
3,17.071,30.0,1.772063,1.784314,1.344144,75.0,"14,11;14,12;13,11"
3,17.071,30.0,1.772023,1.789373,1.344143,75.0,"14,9;15,10;14,10"
3,17.071,30.0,1.771886,1.787524,1.344144,75.0,"13,13;13,14;14,13"
3,17.071,30.0,1.771198,1.788097,1.344144,75.0,"16,15;15,15;15,16"
3,17.071,30.0,1.770885,1.789844,1.344124,75.0,"9,19;10,20;10,19"
3,17.071,30.0,1.770773,1.789844,1.344124,75.0,"10,20;9,20;9,19"
3,17.071,30.0,1.770434,1.792261,1.344123,75.0,"20,15;19,14;19,15"
3,17.071,30.0,1.769905,1.78302,1.344103,75.0,"14,10;15,9;14,9"
3,17.071,30.0,1.769773,1.781184,1.344144,75.0,"14,14;13,13;13,14"
3,17.071,30.0,1.769469,1.783656,1.344103,75.0,"9,17;8,17;8,16"
3,17.071,30.0,1.76936,1.784314,1.344144,75.0,"13,12;13,11;14,12"
3,17.071,30.0,1.769354,1.812515,1.344144,75.0,"9,28;10,29;10,28"
3,17.071,30.0,1.7683,1.781184,1.344144,75.0,"13,14;14,15;14,14"
3,17.071,30.0,1.768284,1.78302,1.344103,75.0,"15,9;14,9;14,8"
3,17.071,30.0,1.767285,1.782814,1.344103,75.0,"20,15;19,15;20,14"
3,17.071,30.0,1.767177,1.777762,1.344144,75.0,"13,11;13,12;14,11"
3,17.071,30.0,1.766425,1.80006,1.344123,75.0,"9,24;9,25;10,25"
