n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,1.615478,1.631669,2.24245,150.0,"19,15;19,14;18,14;17,14;17,15;18,15"
6,30.0,25.71,1.615415,1.625073,2.243861,150.0,"16,13;17,13;17,14;17,15;16,15;16,14"
6,30.0,25.71,1.61508,1.710789,2.197828,150.0,"8,31;7,31;7,32;8,32;9,32;9,31"
6,30.0,25.71,1.614728,1.632004,2.197399,150.0,"10,22;10,21;9,21;8,21;8,22;9,22"
6,30.0,25.71,1.614725,1.631669,2.243807,150.0,"17,14;16,14;16,15;17,15;18,15;18,14"
4,20.0,17.14,1.613961,1.623191,1.491614,100.0,"16,10;16,11;17,11;17,10"
6,30.0,25.71,1.613902,1.738152,2.210526,150.0,"7,41;6,41;5,41;5,42;6,42;7,42"
4,20.0,17.14,1.613595,1.631669,1.516555,100.0,"19,15;19,14;18,14;18,15"
4,20.0,17.14,1.613536,1.624122,1.517967,100.0,"16,15;16,14;17,14;17,15"
6,30.0,25.71,1.612491,1.631669,2.210776,150.0,"19,14;20,14;20,15;19,15;18,15;18,14"
6,30.0,25.71,1.612399,1.738152,2.200717,150.0,"6,41;5,41;5,42;5,43;6,43;6,42"
6,30.0,25.71,1.611891,1.625073,2.243828,150.0,"16,13;17,13;17,12;16,12;15,12;15,13"
6,30.0,25.71,1.611554,1.620637,2.197829,150.0,"8,20;9,20;10,20;10,21;9,21;8,21"
6,30.0,25.71,1.611367,1.625073,2.243861,150.0,"15,14;16,14;17,14;17,13;16,13;15,13"
6,30.0,25.71,1.611016,1.699663,2.226151,150.0,"8,30;8,31;8,32;9,32;9,31;9,30"
6,30.0,25.71,1.61075,1.703543,2.200717,150.0,"7,39;7,38;7,37;6,37;6,38;6,39"
4,20.0,17.14,1.610186,1.622616,1.48488,100.0,"20,15;19,15;19,14;20,14"
6,30.0,25.71,1.609773,1.62506,2.24291,150.0,"16,12;15,12;15,11;16,11;17,11;17,12"
4,20.0,17.14,1.608931,1.615238,1.51301,100.0,"9,21;10,21;10,22;9,22"
4,20.0,17.14,1.608842,1.615238,1.513204,100.0,"10,21;10,20;9,20;9,21"
6,30.0,25.71,1.608616,1.615238,2.229291,150.0,"9,19;9,20;9,21;10,21;10,20;10,19"
6,30.0,25.71,1.608515,1.615238,2.235508,150.0,"10,21;10,20;9,20;9,21;9,22;10,22"
4,20.0,17.14,1.608246,1.652342,1.491583,100.0,"9,24;9,23;10,23;10,24"
6,30.0,25.71,1.608117,1.652342,2.217007,150.0,"10,23;10,22;9,22;9,23;9,24;10,24"
4,20.0,17.14,1.607922,1.614662,1.504059,100.0,"9,20;9,19;10,19;10,20"
6,30.0,25.71,1.606983,1.674366,2.239109,150.0,"11,26;10,26;9,26;9,25;10,25;11,25"
6,30.0,25.71,1.606771,1.624122,2.243863,150.0,"16,15;15,15;15,14;16,14;17,14;17,15"
6,30.0,25.71,1.606667,1.653382,2.24381,150.0,"11,28;10,28;10,29;11,29;12,29;12,28"
6,30.0,25.71,1.605948,1.618171,2.226161,150.0,"9,21;10,21;10,22;10,23;9,23;9,22"
6,30.0,25.71,1.605592,1.623191,2.217259,150.0,"15,11;15,10;16,10;17,10;17,11;16,11"
4,20.0,17.14,1.605304,1.61327,1.517942,100.0,"15,13;15,12;16,12;16,13"
6,30.0,25.71,1.6051,1.699663,2.226613,150.0,"8,30;8,31;9,31;10,31;10,30;9,30"
6,30.0,25.71,1.604804,1.653382,2.243803,150.0,"10,29;10,30;11,30;11,29;11,28;10,28"
4,20.0,17.14,1.604759,1.653382,1.517924,100.0,"10,29;10,30;11,30;11,29"
4,20.0,17.14,1.604751,1.61327,1.517968,100.0,"16,14;15,14;15,13;16,13"
6,30.0,25.71,1.604662,1.61327,2.243838,150.0,"15,14;16,14;16,13;16,12;15,12;15,13"
6,30.0,25.71,1.604245,1.653382,2.243791,150.0,"11,28;11,29;10,29;10,28;10,27;11,27"
4,20.0,17.14,1.60392,1.618171,1.500921,100.0,"9,23;10,23;10,22;9,22"
6,30.0,25.71,1.603909,1.614662,2.229493,150.0,"9,19;9,18;10,18;10,19;10,20;9,20"
6,30.0,25.71,1.603773,1.61327,2.243171,150.0,"15,11;16,11;16,12;16,13;15,13;15,12"
6,30.0,25.71,1.603349,1.656821,2.242238,150.0,"9,27;9,26;10,26;11,26;11,27;10,27"
4,20.0,17.14,1.602597,1.612386,1.517276,100.0,"16,12;16,11;15,11;15,12"
6,30.0,25.71,1.602398,1.61327,2.243864,150.0,"15,14;15,13;16,13;16,14;16,15;15,15"
4,20.0,17.14,1.602022,1.614662,1.504068,100.0,"10,18;10,19;9,19;9,18"
6,30.0,25.71,1.601969,1.697418,2.242667,150.0,"10,30;10,29;9,29;9,30;9,31;10,31"
4,20.0,17.14,1.600535,1.609965,1.517969,100.0,"16,15;16,14;15,14;15,15"
6,30.0,25.71,1.60033,1.686127,2.243112,150.0,"8,39;8,40;8,41;7,41;7,40;7,39"
6,30.0,25.71,1.600092,1.612386,2.22707,150.0,"15,12;15,11;15,10;16,10;16,11;16,12"
6,30.0,25.71,1.599699,1.624122,2.243862,150.0,"17,14;17,15;17,16;16,16;16,15;16,14"
6,30.0,25.71,1.599134,1.622616,2.197828,150.0,"20,16;19,16;19,15;19,14;20,14;20,15"
4,20.0,17.14,1.597897,1.609603,1.501175,100.0,"15,11;15,10;16,10;16,11"
6,30.0,25.71,1.597804,1.631669,2.241988,150.0,"18,14;19,14;19,15;19,16;18,16;18,15"
6,30.0,25.71,1.59707,1.61327,2.243864,150.0,"16,14;16,13;15,13;14,13;14,14;15,14"
6,30.0,25.71,1.596842,1.631669,2.243791,150.0,"17,14;17,15;17,16;18,16;18,15;18,14"
6,30.0,25.71,1.596487,1.61327,2.243838,150.0,"14,13;15,13;16,13;16,12;15,12;14,12"
6,30.0,25.71,1.595307,1.674366,2.226825,150.0,"11,25;11,24;10,24;9,24;9,25;10,25"
6,30.0,25.71,1.594995,1.653382,2.243819,150.0,"12,30;11,30;10,30;10,29;11,29;12,29"
6,30.0,25.71,1.593824,1.609965,2.243865,150.0,"16,15;16,14;15,14;15,15;15,16;16,16"
6,30.0,25.71,1.593177,1.609965,2.243865,150.0,"14,14;14,15;15,15;16,15;16,14;15,14"
6,30.0,25.71,1.592347,1.612386,2.243171,150.0,"14,11;15,11;16,11;16,12;15,12;14,12"
4,20.0,17.14,1.591114,1.624654,1.517967,100.0,"12,29;11,29;11,28;12,28"
4,20.0,17.14,1.591027,1.614366,1.517967,100.0,"17,16;16,16;16,15;17,15"
6,30.0,25.71,1.590871,1.615238,2.238906,150.0,"9,21;10,21;11,21;11,22;10,22;9,22"
4,20.0,17.14,1.590568,1.642726,1.484428,100.0,"8,33;8,32;7,32;7,33"
4,20.0,17.14,1.589796,1.598979,1.517969,100.0,"14,14;15,14;15,13;14,13"
4,20.0,17.14,1.589048,1.605692,1.517969,100.0,"15,16;15,15;16,15;16,16"
6,30.0,25.71,1.588601,1.598979,2.243852,150.0,"14,13;14,14;15,14;15,13;15,12;14,12"
4,20.0,17.14,1.588535,1.602519,1.48488,100.0,"20,15;19,15;19,16;20,16"
4,20.0,17.14,1.588316,1.598979,1.517957,100.0,"14,13;14,12;15,12;15,13"
6,30.0,25.71,1.588202,1.614366,2.243863,150.0,"16,15;15,15;15,16;16,16;17,16;17,15"
4,20.0,17.14,1.587838,1.624654,1.517967,100.0,"11,30;11,29;12,29;12,30"
6,30.0,25.71,1.587666,1.618171,2.226816,150.0,"11,22;11,23;10,23;9,23;9,22;10,22"
6,30.0,25.71,1.587375,1.598979,2.243864,150.0,"15,14;15,15;14,15;14,14;14,13;15,13"
6,30.0,25.71,1.587272,1.615238,2.239099,150.0,"9,20;9,21;10,21;11,21;11,20;10,20"
4,20.0,17.14,1.586859,1.622163,1.51791,100.0,"11,27;10,27;10,28;11,28"
6,30.0,25.71,1.586835,1.622163,2.243761,150.0,"10,26;10,27;10,28;11,28;11,27;11,26"
4,20.0,17.14,1.586745,1.604402,1.472394,100.0,"9,17;8,17;8,18;9,18"
6,30.0,25.71,1.586115,1.609603,2.22707,150.0,"14,11;14,10;15,10;16,10;16,11;15,11"
6,30.0,25.71,1.586059,1.614366,2.243808,150.0,"17,16;16,16;16,15;17,15;18,15;18,16"
4,20.0,17.14,1.585851,1.59679,1.517969,100.0,"14,14;15,14;15,15;14,15"
6,30.0,25.71,1.585668,1.652342,2.217478,150.0,"9,24;9,23;10,23;11,23;11,24;10,24"
6,30.0,25.71,1.585489,1.598979,2.243605,150.0,"15,13;14,13;14,12;14,11;15,11;15,12"
6,30.0,25.71,1.585312,1.614662,2.229502,150.0,"9,19;10,19;10,18;10,17;9,17;9,18"
6,30.0,25.71,1.584838,1.614662,2.229955,150.0,"10,19;11,19;11,20;10,20;9,20;9,19"
6,30.0,25.71,1.584398,1.602535,2.210776,150.0,"18,16;18,15;19,15;20,15;20,16;19,16"
6,30.0,25.71,1.584259,1.614366,2.24245,150.0,"18,15;17,15;17,16;18,16;19,16;19,15"
4,20.0,17.14,1.584242,1.669923,1.513204,100.0,"8,31;8,32;9,32;9,31"
6,30.0,25.71,1.583891,1.624654,2.243862,150.0,"11,28;11,29;11,30;12,30;12,29;12,28"
4,20.0,17.14,1.583134,1.602535,1.516555,100.0,"18,16;19,16;19,15;18,15"
4,20.0,17.14,1.583023,1.596579,1.51771,100.0,"14,11;15,11;15,12;14,12"
6,30.0,25.71,1.581404,1.614662,2.229964,150.0,"9,18;10,18;11,18;11,19;10,19;9,19"
6,30.0,25.71,1.581385,1.605692,2.243865,150.0,"14,15;14,16;15,16;16,16;16,15;15,15"
4,20.0,17.14,1.581316,1.614366,1.517912,100.0,"17,16;17,15;18,15;18,16"
6,30.0,25.71,1.57926,1.59679,2.243865,150.0,"14,16;15,16;15,15;15,14;14,14;14,15"
6,30.0,25.71,1.579205,1.596579,2.239815,150.0,"15,10;15,11;15,12;14,12;14,11;14,10"
6,30.0,25.71,1.578949,1.604402,2.19829,150.0,"9,17;10,17;10,18;9,18;8,18;8,17"
4,20.0,17.14,1.578843,1.604768,1.517653,100.0,"10,22;11,22;11,21;10,21"
6,30.0,25.71,1.578737,1.598979,2.243864,150.0,"14,14;13,14;13,13;14,13;15,13;15,14"
6,30.0,25.71,1.578422,1.624654,2.243862,150.0,"12,29;12,28;12,27;11,27;11,28;11,29"
