n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.093392,1.145333,1.344123,75.0,"4,50;4,51;3,51"
3,17.071,30.0,1.093293,1.325945,1.344103,75.0,"22,46;23,45;23,46"
3,17.071,30.0,1.093279,1.328255,1.344144,75.0,"21,53;21,52;22,52"
3,17.071,30.0,1.091846,1.14635,1.344144,75.0,"21,37;22,38;22,37"
3,17.071,30.0,1.088329,1.19813,1.344123,75.0,"22,56;23,57;22,57"
3,17.071,30.0,1.085991,1.12313,1.344103,75.0,"4,51;3,50;4,50"
3,17.071,30.0,1.085079,1.154423,1.344123,75.0,"5,58;5,57;6,58"
3,17.071,30.0,1.084198,1.154423,1.344123,75.0,"6,57;6,58;5,58"
3,17.071,30.0,1.082523,1.119562,1.344144,75.0,"5,55;4,55;4,54"
3,17.071,30.0,1.08175,1.42201,1.344144,75.0,"21,47;21,48;20,48"
3,17.071,30.0,1.081319,1.119562,1.344144,75.0,"4,54;4,55;5,54"
3,17.071,30.0,1.081117,1.154423,1.344083,75.0,"5,58;5,59;6,59"
3,17.071,30.0,1.08091,1.139941,1.344123,75.0,"23,39;22,38;22,39"
3,17.071,30.0,1.079513,1.313155,1.344144,75.0,"21,55;21,54;20,55"
3,17.071,30.0,1.078287,1.309901,1.344144,75.0,"21,33;22,33;21,34"
3,17.071,30.0,1.078257,1.139941,1.344144,75.0,"22,40;22,39;21,40"
3,17.071,30.0,1.076267,1.14635,1.344144,75.0,"20,37;21,37;21,36"
3,17.071,30.0,1.074294,1.167151,1.344144,75.0,"22,43;21,43;21,42"
3,17.071,30.0,1.074029,1.309901,1.344144,75.0,"22,34;22,33;21,33"
3,17.071,30.0,1.073917,1.119562,1.344144,75.0,"4,53;5,54;4,54"
3,17.071,30.0,1.073914,1.154423,1.344123,75.0,"6,58;5,58;6,59"
3,17.071,30.0,1.07391,1.231154,1.344144,75.0,"19,33;19,32;20,33"
3,17.071,30.0,1.07277,1.325945,1.344123,75.0,"23,46;22,46;22,45"
3,17.071,30.0,1.070555,1.112259,1.344082,75.0,"6,36;7,36;6,37"
3,17.071,30.0,1.070425,1.154423,1.344123,75.0,"5,58;5,57;6,57"
3,17.071,30.0,1.069837,1.142655,1.344123,75.0,"22,57;23,56;22,56"
3,17.071,30.0,1.068702,1.139941,1.344123,75.0,"22,40;22,39;23,39"
3,17.071,30.0,1.067788,1.12313,1.344102,75.0,"4,50;4,49;3,50"
3,17.071,30.0,1.067267,1.139941,1.344123,75.0,"22,39;22,38;23,38"
3,17.071,30.0,1.06621,1.119562,1.344144,75.0,"4,54;5,53;4,53"
3,17.071,30.0,1.06524,1.14635,1.344144,75.0,"21,37;21,36;22,37"
3,17.071,30.0,1.063471,1.154423,1.344102,75.0,"5,57;4,57;5,58"
3,17.071,30.0,1.06326,1.22368,1.344123,75.0,"23,49;22,50;22,49"
