n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.441389,1.468449,1.344144,75.0,"14,38;15,37;15,38"
3,17.071,30.0,1.449152,1.485666,1.344144,75.0,"14,38;15,37;14,37"
3,17.071,30.0,1.455138,1.468449,1.344144,75.0,"14,38;13,39;13,38"
3,17.071,30.0,1.464838,1.468449,1.344144,75.0,"14,38;13,39;14,39"
3,17.071,30.0,1.432545,1.468449,1.344144,75.0,"14,38;13,37;13,38"
3,17.071,30.0,1.450949,1.485666,1.344144,75.0,"14,38;13,37;14,37"
3,17.071,30.0,1.463461,1.468449,1.344144,75.0,"14,38;14,39;15,38"
3,17.071,30.0,1.452821,1.468449,1.344144,75.0,"14,38;14,39;13,38"
3,17.071,30.0,1.459134,1.468449,1.344144,75.0,"14,38;14,39;15,39"
3,17.071,30.0,1.464838,1.468449,1.344144,75.0,"14,38;14,39;13,39"
3,17.071,30.0,1.472164,1.485666,1.344144,75.0,"14,38;14,37;15,38"
3,17.071,30.0,1.461524,1.485666,1.344144,75.0,"14,38;14,37;13,38"
3,17.071,30.0,1.449152,1.485666,1.344144,75.0,"14,38;14,37;15,37"
3,17.071,30.0,1.450949,1.485666,1.344144,75.0,"14,38;14,37;13,37"
3,17.071,30.0,1.463461,1.468449,1.344144,75.0,"14,38;15,38;14,39"
3,17.071,30.0,1.472164,1.485666,1.344144,75.0,"14,38;15,38;14,37"
3,17.071,30.0,1.460074,1.468449,1.344144,75.0,"14,38;15,38;15,39"
3,17.071,30.0,1.441389,1.468449,1.344144,75.0,"14,38;15,38;15,37"
3,17.071,30.0,1.452821,1.468449,1.344144,75.0,"14,38;13,38;14,39"
3,17.071,30.0,1.461524,1.485666,1.344144,75.0,"14,38;13,38;14,37"
3,17.071,30.0,1.455138,1.468449,1.344144,75.0,"14,38;13,38;13,39"
3,17.071,30.0,1.432545,1.468449,1.344144,75.0,"14,38;13,38;13,37"
3,17.071,30.0,1.283888,1.31044,1.344103,75.0,"22,42;23,43;23,42"
3,17.071,30.0,1.200043,1.290141,1.344123,75.0,"22,42;23,43;22,43"
3,17.071,30.0,1.304639,1.313334,1.344103,75.0,"22,42;23,41;23,42"
3,17.071,30.0,1.306143,1.314952,1.344123,75.0,"22,42;23,41;22,41"
3,17.071,30.0,1.110514,1.290141,1.344144,75.0,"22,42;21,43;21,42"
3,17.071,30.0,1.088333,1.290141,1.344144,75.0,"22,42;21,43;22,43"
3,17.071,30.0,1.258759,1.360688,1.344144,75.0,"22,42;21,41;21,42"
3,17.071,30.0,1.321927,1.360688,1.344144,75.0,"22,42;21,41;22,41"
3,17.071,30.0,1.219829,1.31044,1.344123,75.0,"22,42;22,43;23,42"
3,17.071,30.0,1.158165,1.290141,1.344144,75.0,"22,42;22,43;21,42"
3,17.071,30.0,1.200043,1.290141,1.344123,75.0,"22,42;22,43;23,43"
3,17.071,30.0,1.088333,1.290141,1.344144,75.0,"22,42;22,43;21,43"
3,17.071,30.0,1.305178,1.314952,1.344123,75.0,"22,42;22,41;23,42"
3,17.071,30.0,1.243514,1.314952,1.344144,75.0,"22,42;22,41;21,42"
3,17.071,30.0,1.306143,1.314952,1.344123,75.0,"22,42;22,41;23,41"
3,17.071,30.0,1.321927,1.360688,1.344144,75.0,"22,42;22,41;21,41"
3,17.071,30.0,1.219829,1.31044,1.344123,75.0,"22,42;23,42;22,43"
3,17.071,30.0,1.305178,1.314952,1.344123,75.0,"22,42;23,42;22,41"
3,17.071,30.0,1.283888,1.31044,1.344103,75.0,"22,42;23,42;23,43"
3,17.071,30.0,1.304639,1.313334,1.344103,75.0,"22,42;23,42;23,41"
3,17.071,30.0,1.158165,1.290141,1.344144,75.0,"22,42;21,42;22,43"
3,17.071,30.0,1.243514,1.314952,1.344144,75.0,"22,42;21,42;22,41"
3,17.071,30.0,1.110514,1.290141,1.344144,75.0,"22,42;21,42;21,43"
3,17.071,30.0,1.258759,1.360688,1.344144,75.0,"22,42;21,42;21,41"
3,17.071,30.0,1.418214,1.442092,1.344144,75.0,"14,29;15,30;15,29"
3,17.071,30.0,1.449054,1.480706,1.344144,75.0,"14,29;15,30;14,30"
3,17.071,30.0,1.390551,1.442092,1.344144,75.0,"14,29;15,28;15,29"
3,17.071,30.0,1.406557,1.442092,1.344144,75.0,"14,29;15,28;14,28"
