row,col,northing_km,easting_km,fire_norm,poacher_norm,danger,removed,residual,has_stationary_person,has_patrol_person,has_camera,has_drone
7,3,-22.54,-144.78,0.04213898656085124,0.3542671694468538,0.39640615600770507,0.39640615600770507,0.0,0,0,0,0
7,4,-22.54,-139.78,0.03524410936200467,0.3764348093933386,0.4116789187553433,0.4116789187553433,0.0,0,0,0,0
7,5,-22.54,-134.78,0.018613310306123468,0.39864993777572,0.41726324808184345,0.41726324808184345,0.0,0,0,0,0
7,6,-22.54,-129.78,0.01615052932813663,0.42063929461355726,0.4367898239416939,0.4367898239416939,0.0,0,0,0,0
7,7,-22.54,-124.78,0.02375301911770338,0.4421715241270643,0.4659245432447677,0.45623711937004163,0.009687423874726042,0,0,0,0
7,8,-22.54,-119.78,0.0798272060220295,0.46299119614440976,0.5428184021664393,0.499952365386154,0.04286603678028528,0,0,0,0
7,9,-22.54,-114.78,0.11799134079141076,0.4828435852597858,0.6008349260511966,0.5102440891214708,0.0905908369297258,0,0,0,0
7,10,-22.54,-109.78,0.1180277800634605,0.5014907348212166,0.6195185148846771,0.5448641243971664,0.07465439048751077,0,0,0,0
7,11,-22.54,-104.78,0.07848488728975943,0.5219538014567686,0.6004386887465281,0.600212202090962,0.0002264866555660161,0,0,0,0
7,12,-22.54,-99.78,0.034897179472835306,0.553284154389389,0.5881813338622244,0.5881813338622244,0.0,0,0,0,0
7,13,-22.54,-94.78,0.01882897772891293,0.5834573045336833,0.6022862822625962,0.6022862822625962,0.0,0,0,0,0
7,14,-22.54,-89.78,0.006458507282701172,0.6106577758756159,0.617116283158317,0.5391485359975281,0.07796774716078891,0,0,0,0
7,15,-22.54,-84.78,0.017486381833162336,0.6321480095744112,0.6496343914075735,0.5135336821364213,0.13610070927115225,0,0,0,0
7,16,-22.54,-79.78,0.0379085314590266,0.6510196033497041,0.6889281348087307,0.6889281348087307,0.0,0,0,1,0
7,17,-22.54,-74.78,0.052381105794478675,0.6676190941913466,0.7200001999858252,0.4925379048808948,0.22746229510493043,0,0,0,0
7,18,-22.54,-69.78,0.06724087897826779,0.6818581414565814,0.7490990204348492,0.4664918270754727,0.2826071933593765,0,0,0,0
7,19,-22.54,-64.78,0.07538978167864749,0.6935610185807293,0.7689508002593768,0.49723522975297657,0.2717155705064002,0,0,0,0
7,20,-22.54,-59.78,0.05039705048359366,0.7027388376361255,0.7531358881197192,0.5484304363391509,0.20470545178056831,0,0,0,0
7,21,-22.54,-54.78,0.03712321105864442,0.7114890734417568,0.7486122845004013,0.6128115641082031,0.13580072039219815,0,0,0,0
7,22,-22.54,-49.78,0.06438742680963154,0.7212087116651199,0.7855961384747514,0.6804943561621906,0.10510178231256084,0,0,0,0
7,23,-22.54,-44.78,0.07848358034107374,0.7305346339242167,0.8090182142652904,0.6666666991877431,0.14235151507754729,0,0,0,0
7,24,-22.54,-39.78,0.037634653116539823,0.7379339112362415,0.7755685643527813,0.759425226522413,0.016143337830368365,0,0,0,0
7,25,-22.54,-34.78,0.0454012975459133,0.7428193068460418,0.7882206043919551,0.7882206043919551,0.0,0,0,0,0
7,26,-22.54,-29.78,0.11529779657284875,0.7447667912003985,0.8600645877732472,0.8600645877732472,0.0,0,0,0,0
7,27,-22.54,-24.78,0.16388226452797333,0.7413783092542555,0.9052605737822288,0.9052605737822288,0.0,0,1,0,0
7,28,-22.54,-19.78,0.22952121916393817,0.7291061701702686,0.9586273893342068,0.8578397603236976,0.1007876290105092,0,0,0,0
7,29,-22.54,-14.78,0.21773283708896554,0.7039070337390366,0.9216398708280021,0.7327990682322673,0.18884080259573488,0,0,0,0
7,30,-22.54,-9.78,0.21084817329641192,0.6632938390839144,0.8741420123803263,0.621214999301273,0.2529270130790533,0,0,0,0
7,31,-22.54,-4.78,0.18479408180883702,0.6095662504696809,0.794360332278518,0.6241289673994188,0.17023136487909918,0,0,0,0
7,32,-22.54,0.22,0.15863692144849142,0.5534120356157385,0.7120489570642299,0.6019771380173784,0.11007181904685148,0,0,0,0
7,33,-22.54,5.22,0.10616044020136509,0.5463794088282902,0.6525398490296552,0.565140199630656,0.08739964939899925,0,0,0,0
7,34,-22.54,10.22,0.12891964203738754,0.5802237002416405,0.7091433422790281,0.6443372468401287,0.06480609543889937,0,0,0,0
7,35,-22.54,15.22,0.12898561372399558,0.6000176733707001,0.7290032870946956,0.7290032870946956,0.0,0,0,0,0
7,36,-22.54,20.22,0.21585810423198543,0.6022277207232489,0.8180858249552343,0.8180858249552343,0.0,0,0,0,1
7,37,-22.54,25.22,0.1875230271578567,0.5968784608829016,0.7844014880407584,0.7844014880407584,0.0,0,0,0,0
7,38,-22.54,30.22,0.20505078376116812,0.5905169317742842,0.7955677155354524,0.7955677155354524,0.0,0,0,0,0
7,39,-22.54,35.22,0.2705524861662991,0.5815506408557555,0.8521031270220546,0.8354370047307474,0.01666612229130715,0,0,0,0
7,40,-22.54,40.22,0.24529346415759978,0.5671857461044858,0.8124792102620856,0.8124792102620856,0.0,0,0,0,0
7,41,-22.54,45.22,0.25374352934546734,0.5517583383267894,0.8055018676722567,0.8055018676722567,0.0,0,0,0,0
7,42,-22.54,50.22,0.2823339812580839,0.5361421352944545,0.8184761165525385,0.8184761165525385,0.0,0,0,0,0
7,43,-22.54,55.22,0.2627382182163447,0.5198407391940454,0.7825789574103901,0.7825789574103901,0.0,0,0,0,0
7,44,-22.54,60.22,0.2286455673557821,0.5015541469366861,0.7301997142924682,0.7301997142924682,0.0,0,0,0,0
7,45,-22.54,65.22,0.1762848386024506,0.4807793065761454,0.657064145178596,0.657064145178596,0.0,0,0,0,0
7,46,-22.54,70.22,0.2239012694409731,0.459291661313871,0.6831929307548441,0.6831929307548441,0.0,0,0,0,0
7,47,-22.54,75.22,0.2829281290481379,0.4400622342490091,0.722990363297147,0.722990363297147,0.0,0,0,0,0
7,48,-22.54,80.22,0.24236555017639663,0.42562383808301296,0.6679893882594096,0.6679893882594096,0.0,0,0,0,0
7,49,-22.54,85.22,0.279848144129317,0.41769993851428894,0.697548082643606,0.697548082643606,0.0,0,0,0,0
7,50,-22.54,90.22,0.3142644940579277,0.41500476775714057,0.7292692618150682,0.7292692618150682,0.0,0,0,0,0
7,51,-22.54,95.22,0.2990362181876771,0.4065840004255581,0.7056202186132352,0.7056202186132352,0.0,0,0,0,0
7,52,-22.54,100.22,0.30441689954866524,0.3994806633789218,0.703897562927587,0.703897562927587,0.0,0,0,0,0
7,53,-22.54,105.22,0.2591521391606684,0.4003189123592963,0.6594710515199647,0.6594710515199647,0.0,0,0,0,0
7,54,-22.54,110.22,0.18256619449709383,0.40833117509650135,0.5908973695935952,0.5908973695935952,0.0,0,0,0,0
7,55,-22.54,115.22,0.2733712857934961,0.4201733138277661,0.6935445996212622,0.6935445996212622,0.0,0,0,0,0
7,56,-22.54,120.22,0.2738288555864616,0.4349302228674081,0.7087590784538698,0.7087590784538698,0.0,0,0,0,0
7,57,-22.54,125.22,0.36790889760286166,0.452193350616058,0.8201022482189196,0.566669308328928,0.2534329398899916,0,0,0,0
8,1,-17.54,-154.78,0.01331317581281818,0.3751824035771987,0.38849557939001683,0.38849557939001683,0.0,0,0,0,0
8,2,-17.54,-149.78,0.018447718708642907,0.3917418289313031,0.41018954763994603,0.41018954763994603,0.0,0,0,0,0
